year,month,day,flow,ss,ht,rain
1980,6,5,0.278,NaN,NaN,NaN
1980,6,6,0.207,NaN,NaN,NaN
1980,6,7,0.287,NaN,NaN,NaN
1980,6,8,0.202,NaN,NaN,NaN
1980,6,9,0.178,NaN,NaN,NaN
1980,6,10,0.177,NaN,NaN,NaN
1980,6,11,0.422,NaN,NaN,NaN
1980,6,12,0.298,NaN,NaN,NaN
1980,6,13,0.223,NaN,NaN,NaN
1980,6,14,0.227,NaN,NaN,NaN
1980,6,15,0.297,NaN,NaN,NaN
1980,6,16,0.203,NaN,NaN,NaN
1980,6,17,0.171,NaN,NaN,NaN
1980,6,18,0.171,NaN,NaN,NaN
1980,6,19,0.565,NaN,NaN,NaN
1980,6,20,1.347,NaN,NaN,NaN
1980,6,21,5.56,NaN,NaN,NaN
1980,6,22,9.224,NaN,NaN,NaN
1980,6,23,1.117,NaN,NaN,NaN
1980,6,24,0.589,NaN,NaN,NaN
1980,6,25,0.467,NaN,NaN,NaN
1980,6,26,0.379,NaN,NaN,NaN
1980,6,27,0.321,NaN,NaN,NaN
1980,6,28,0.287,NaN,NaN,NaN
1980,6,29,0.524,NaN,NaN,NaN
1980,6,30,6.687,NaN,NaN,NaN
1980,7,1,8.733,NaN,NaN,NaN
1980,7,2,0.78,NaN,NaN,NaN
1980,7,3,0.516,NaN,NaN,NaN
1980,7,4,0.489,NaN,NaN,NaN
1980,7,5,0.425,NaN,NaN,NaN
1980,7,6,2.058,NaN,NaN,NaN
1980,7,7,0.733,NaN,NaN,NaN
1980,7,8,0.441,NaN,NaN,NaN
1980,7,9,0.401,NaN,NaN,NaN
1980,7,10,0.399,NaN,NaN,NaN
1980,7,11,0.531,NaN,NaN,NaN
1980,7,12,0.446,NaN,NaN,NaN
1980,7,13,0.491,NaN,NaN,NaN
1980,7,14,0.397,NaN,NaN,NaN
1980,7,15,NaN,NaN,NaN,NaN
1980,7,16,NaN,NaN,NaN,NaN
1980,7,17,NaN,NaN,NaN,NaN
1980,7,18,NaN,NaN,NaN,NaN
1980,7,19,NaN,NaN,NaN,NaN
1980,7,20,NaN,NaN,NaN,NaN
1980,7,21,0.465,NaN,NaN,NaN
1980,7,22,0.491,NaN,NaN,NaN
1980,7,23,0.535,NaN,NaN,NaN
1980,7,24,0.465,NaN,NaN,NaN
1980,7,25,0.377,NaN,NaN,NaN
1980,7,26,0.357,NaN,NaN,NaN
1980,7,27,0.336,NaN,NaN,NaN
1980,7,28,0.327,NaN,NaN,NaN
1980,7,29,0.318,NaN,NaN,NaN
1980,7,30,0.314,NaN,NaN,NaN
1980,7,31,0.309,NaN,NaN,NaN
1980,8,1,1.653,NaN,NaN,NaN
1980,8,2,0.46,NaN,NaN,NaN
1980,8,3,0.446,NaN,NaN,NaN
1980,8,4,0.369,NaN,NaN,NaN
1980,8,5,0.354,NaN,NaN,NaN
1980,8,6,0.313,NaN,NaN,NaN
1980,8,7,0.347,NaN,NaN,NaN
1980,8,8,0.294,NaN,NaN,NaN
1980,8,9,0.283,NaN,NaN,NaN
1980,8,10,0.277,NaN,NaN,NaN
1980,8,11,0.272,NaN,NaN,NaN
1980,8,12,0.268,NaN,NaN,NaN
1980,8,13,0.268,NaN,NaN,NaN
